Heure,Voie 1
ms,°C
,
10,27.25
212,26.98
400,27.07
602,27.07
805,27.03
1008,26.92
1211,26.92
1414,27.03
1601,27.12
1804,27.12
2006,27.28
2209,26.94
2412,26.94
2615,27.48
2802,27.48
3005,26.92
3208,27.14
3410,27.14
3613,26.85
3800,27.25
4003,27.25
4206,27.23
4409,27.34
4612,27.34
4814,26.92
5002,26.92
5204,27.25
5407,27.01
5610,27.01
5813,27.23
6000,27.05
6203,27.05
6406,27.01
6608,27.05
6811,27.05
7014,27.05
7201,27.14
7404,27.14
7607,27.05
7810,27.05
8012,26.8
8200,27.1
8402,27.1
8605,27.01
8808,27.03
9011,27.03
9214,27.28
9401,27.05
9604,27.05
9806,27.16
10009,27.12
10212,27.12
10415,27.16
10602,27.16
10805,26.89
11008,27.43
11210,27.43
11413,26.96
11600,27.3
11803,27.3
12006,27.1
12209,27.39
12412,27.39
12614,26.87
12802,26.87
13004,27.32
13207,27.1
13410,27.1
13613,27.12
13800,27.01
14003,27.01
14206,27.07
14408,27.12
14611,27.12
14814,27.1
15001,27.05
15204,27.05
15407,27.28
15610,27.28
15812,26.92
16000,27.03
16202,27.03
16405,27.23
16608,27.28
16811,27.28
17014,27.19
17201,27.12
17404,27.12
17607,27.1
17809,27.23
18012,27.23
18215,26.98
18402,26.98
18605,27.12
18808,27.03
19011,27.03
19213,27.3
19401,26.78
19603,26.78
19806,27.14
20009,26.87
20212,26.87
20415,27.05
20602,27.32
20805,27.32
21007,27.01
21210,27.01
21413,27.1
21600,27.07
21803,27.07
22006,26.92
22209,27.23
22411,27.23
22614,27.03
22801,27.14
23004,27.14
23207,27.34
23410,27.34
23613,27.34
23800,27.21
24003,27.21
24205,27.14
24408,27.1
24611,27.1
24814,27.19
25001,27.25
25204,27.25
25407,27.03
25609,27.34
25812,27.34
26015,26.94
26202,26.94
26405,27.23
26608,26.87
26811,26.87
27013,27.03
27201,26.94
27403,26.94
27606,27.19
27809,26.8
28012,26.8
28215,27.03
28402,26.89
28605,26.89
28807,27.34
29010,27.34
29213,27.16
29400,27.1
29603,27.1
29806,27.34
30009,27.37
30211,27.37
30414,27.05
30601,27.23
30804,27.23
31007,27.05
31210,26.96
31413,26.96
31600,26.76
31803,26.76
32005,26.8
32208,27.19
32411,27.19
32614,26.94
32801,26.92
33004,26.92
33207,26.85
33409,27.12
33612,27.12
33815,26.94
34002,26.94
34205,27.07
34408,26.96
34611,26.96
34813,27.25
35001,27.1
35203,27.1
35406,27.28
35609,26.96
35812,26.96
36015,26.85
36202,27.1
36405,27.1
36607,27.01
36810,27.01
37013,27.14
37200,26.96
37403,26.96
37606,27.25
37809,27.07
38011,27.07
38214,27.32
38401,27.05
38604,27.05
38807,27.16
39010,26.96
39213,26.96
39400,27.14
39603,27.14
39805,26.94
40008,27.1
40211,27.1
40414,26.94
40601,27.12
40804,27.12
41007,26.98
41209,27.07
41412,27.07
41615,26.94
41802,26.94
42005,27.19
42208,27.01
42411,27.01
42613,27.21
42801,26.78
43003,26.78
43206,27.16
43409,27.12
43612,27.12
43815,26.92
44002,27.03
44205,27.03
44407,27.32
44610,27.32
44813,27.19
45000,27.14
45203,27.14
45406,27.34
45609,27.07
45811,27.07
46014,27.25
46201,27.01
46404,27.01
46607,27.32
46810,27.01
47013,27.01
47200,26.92
47403,26.92
47605,26.98
47808,27.25
48011,27.25
48214,26.85
48401,26.94
48604,26.94
48807,26.89
49010,27.01
49212,27.01
49400,26.89
49602,26.89
49805,27.1
50008,26.78
50211,26.78
50414,27.34
50601,26.96
50804,26.96
51006,27.01
51209,27.14
51412,27.14
51615,27.1
51802,27.01
52005,27.01
52208,27.03
52410,27.03
52613,27.07
52800,26.98
53003,26.98
53206,26.92
53409,26.85
53612,26.85
53814,27.07
54002,26.96
54204,26.96
54407,27.03
54610,27.07
54813,27.07
55000,27.12
55203,27.12
55406,27.01
55608,27.12
55811,27.12
56014,26.85
56201,27.28
56404,27.28
56607,26.96
56810,27.16
57012,27.16
57200,26.94
57402,26.94
57605,27.3
57808,27.07
58011,27.07
58214,27.03
58401,27.03
58604,27.03
58806,27.14
59009,27.16
59212,27.16
59415,26.94
59602,27.01
59805,27.01
60008,26.78
60210,26.78
60413,27.05
60600,26.87
60803,26.87
61006,27.14
61209,26.98
61412,26.98
61614,27.1
61802,26.96
62004,26.96
62207,27.19
62410,27.07
62613,27.07
62800,26.94
63003,26.94
63206,26.74
63408,27.12
63611,27.12
63814,26.89
64001,27.14
64204,27.14
64407,27.1
64610,27.1
64812,27.1
65000,26.94
65202,26.94
65405,27.05
65608,26.94
65811,26.94
66014,26.94
66201,26.92
66404,26.92
66606,26.92
66809,27.03
67012,27.03
67215,27.01
67402,27.1
67605,27.1
67808,27.03
68010,27.03
68213,27.12
68400,27.01
68603,27.01
68806,27.05
69009,26.87
69212,26.87
